,0
GO:0003011,1.0
GO:0003012,2.0
GO:0003014,13.0
GO:0003015,7.0
GO:0003016,14.0
GO:0003017,2.0
GO:0003025,1.0
GO:0003026,1.0
GO:0003029,1.0
GO:0003032,3.0
GO:0003044,1.0
GO:0003050,2.0
GO:0003051,3.0
GO:0003056,5.0
GO:0003057,2.0
GO:0003058,1.0
GO:0003062,2.0
GO:0003064,2.0
GO:0003065,1.0
GO:0003069,1.0
GO:0003073,11.0
GO:0003081,5.0
GO:0003084,10.0
GO:0003085,16.0
GO:0003091,18.0
GO:0003092,1.0
GO:0003093,4.0
GO:0003094,19.0
GO:0003095,3.0
GO:0003096,4.0
GO:0003097,3.0
GO:0003099,1.0
GO:0003100,6.0
GO:0003104,3.0
GO:0003105,3.0
GO:0003106,1.0
GO:0003108,1.0
GO:0003117,1.0
GO:0003127,3.0
GO:0003128,1.0
GO:0003130,3.0
GO:0003131,1.0
GO:0003136,1.0
GO:0003138,3.0
GO:0003139,11.0
GO:0003140,3.0
GO:0003142,1.0
GO:0003143,9.0
GO:0003144,1.0
GO:0003147,1.0
GO:0003148,25.0
GO:0003149,8.0
GO:0003150,4.0
GO:0003151,47.0
GO:0003156,2.0
GO:0003157,4.0
GO:0003158,9.0
GO:0003160,2.0
GO:0003161,16.0
GO:0003162,6.0
GO:0003163,8.0
GO:0003165,2.0
GO:0003166,4.0
GO:0003167,3.0
GO:0003168,1.0
GO:0003169,2.0
GO:0003170,10.0
GO:0003171,3.0
GO:0003172,1.0
GO:0003174,1.0
GO:0003175,1.0
GO:0003176,5.0
GO:0003177,4.0
GO:0003179,7.0
GO:0003180,36.0
GO:0003181,12.0
GO:0003182,1.0
GO:0003183,9.0
GO:0003184,17.0
GO:0003185,1.0
GO:0003186,4.0
GO:0003188,2.0
GO:0003189,2.0
GO:0003190,4.0
GO:0003192,3.0
GO:0003193,2.0
GO:0003195,2.0
GO:0003197,10.0
GO:0003198,12.0
GO:0003199,2.0
GO:0003203,21.0
GO:0003207,3.0
GO:0003208,9.0
GO:0003209,5.0
GO:0003210,2.0
GO:0003211,5.0
GO:0003213,2.0
GO:0003214,10.0
GO:0003215,12.0
GO:0003218,2.0
GO:0003219,4.0
GO:0003220,4.0
GO:0003221,2.0
GO:0003222,14.0
GO:0003223,7.0
GO:0003226,1.0
GO:0003228,4.0
GO:0003229,3.0
GO:0003230,1.0
GO:0003231,7.0
GO:0003236,1.0
GO:0003241,2.0
GO:0003242,1.0
GO:0003245,1.0
GO:0003251,1.0
GO:0003252,2.0
GO:0003253,7.0
GO:0003254,10.0
GO:0003259,1.0
GO:0003266,4.0
GO:0003270,1.0
GO:0003271,1.0
GO:0003272,10.0
GO:0003273,4.0
GO:0003274,5.0
GO:0003275,2.0
GO:0003278,3.0
GO:0003279,9.0
GO:0003281,32.0
GO:0003283,8.0
GO:0003285,1.0
GO:0003289,5.0
GO:0003290,2.0
GO:0003300,10.0
GO:0003308,3.0
GO:0003309,8.0
GO:0003310,7.0
GO:0003311,2.0
GO:0003322,1.0
GO:0003323,12.0
GO:0003326,2.0
GO:0003327,1.0
GO:0003329,2.0
GO:0003330,1.0
GO:0003331,5.0
GO:0003332,4.0
GO:0003333,20.0
GO:0003334,10.0
GO:0003335,1.0
GO:0003336,2.0
GO:0003337,7.0
GO:0003338,4.0
GO:0003339,1.0
GO:0003340,2.0
GO:0003341,46.0
GO:0003342,2.0
GO:0003344,6.0
GO:0003345,1.0
GO:0003350,2.0
GO:0003351,20.0
GO:0003352,4.0
GO:0003353,1.0
GO:0003356,8.0
GO:0003357,7.0
GO:0003358,5.0
GO:0003359,1.0
GO:0003360,8.0
GO:0003363,1.0
GO:0003365,3.0
GO:0003366,2.0
GO:0003374,2.0
GO:0003376,9.0
GO:0003382,17.0
GO:0003383,4.0
GO:0003400,4.0
GO:0003401,1.0
GO:0003402,6.0
GO:0003404,2.0
GO:0003406,7.0
GO:0003407,16.0
GO:0003408,2.0
GO:0003409,1.0
GO:0003412,1.0
GO:0003413,4.0
GO:0003415,3.0
GO:0003416,9.0
GO:0003417,7.0
GO:0003418,4.0
GO:0003419,3.0
GO:0003420,1.0
GO:0003421,1.0
GO:0003429,1.0
GO:0003430,3.0
GO:0003431,2.0
GO:0003433,2.0
GO:0005513,14.0
GO:0005975,127.0
GO:0005976,2.0
GO:0005977,30.0
GO:0005978,21.0
GO:0005979,10.0
GO:0005980,10.0
GO:0005981,3.0
GO:0005983,1.0
GO:0005984,1.0
GO:0005985,1.0
GO:0005986,2.0
GO:0005987,1.0
GO:0005989,2.0
GO:0005990,1.0
GO:0005991,1.0
GO:0005993,1.0
GO:0005996,1.0
